TRAFFIC,,,TOTAL,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#14,#14,#14,#14,#14
,,,,May 7,May 21,Jun 3,Jun 25,Jul 10,Jul 29,Aug 13,Aug 27,Sep 29,Oct 14,Oct 27,Nov 10,Nov 24,Dec 1,Jan 12,Jan 19,Jan 26,Mar 4,Mar 11
,120230301601170095,0.13%,4,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
,120230301601200095,0.03%,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,octaividtest,0.07%,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
,octvid1,12.92%,386,0,0,0,0,0,0,0,0,0,0,118,116,141,0,0,0,11,0,0
,octadvid1,1.14%,34,0,0,0,0,0,0,0,0,0,0,13,6,2,0,0,0,0,1,12
,octadvid2guess,1.64%,49,0,0,0,0,0,0,0,0,0,0,2,5,42,0,0,0,0,0,0
,may_advid3,1.77%,53,0,0,0,0,0,0,0,0,0,0,12,41,0,0,0,0,0,0,0
,augvid1,0.03%,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,120230301601220095,0.03%,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,120230301601240095,0.13%,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
,trads,0.74%,22,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0
,octadvid3hallenge,0.07%,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
,novvid_name,1.47%,44,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0
,novvd_season,0.03%,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,novvid_yearend,0.57%,17,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
,novvid_period,0.23%,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
,retargeting_2025ends,1.77%,53,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0
,retarget_watchvidb4,0.17%,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
,nov_vid2_bo,1.61%,48,0,0,0,0,0,0,0,0,0,0,0,0,38,0,10,0,0,0,0
,chart-aibroadmy,1.10%,33,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
,octvid1-aibroadmy,1.17%,35,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
,julyvid_borntime-aibroadmy,1.17%,35,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
,julyroadppl-aibroadmy,0.10%,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
,junevid2-aibroadmy,0.40%,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
,ivispic-aibroadmy,2.34%,70,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0
,timingprob2-aibroadmy,0.23%,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
,vid7-aibroadmy,0.07%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
,junevid1-aibroadmy,0.07%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
,nov_vid1_bizstucks,0.17%,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
,2026janpic2,0.27%,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0
,2026janpic1,0.13%,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
,120238514227090095,0.03%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,2026janpic4,0.20%,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
,video7,0.30%,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0
,bizowner,0.07%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
,timingprob,1.17%,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,12,0,1
,bizstucks,0.50%,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0
,ivispic_purplestarastrologycourse,0.37%,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
,120238835724930095,2.95%,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0
,26janpic7_2026massivewealthclarity,0.03%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,ivispic_pattern,0.54%,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
,ivispic_timing,0.03%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,timingproblem,0.07%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
